City,County,State
Dayton,Montgomery,OH
Reynoldsburg,Franklin,OH
Williamsburg,Clermont,OH
Westerville,Franklin,OH
Columbus,Franklin,OH
Miamisburg,Montgomery,OH
Johnstown,Licking,OH
Dublin,Franklin,OH
Canal Winchester,Fairfield,OH
Lebanon,Warren,OH
Sabina,Clinton,OH
Goshen,Clermont,OH
Waynesville,Warren,OH
Springboro,Warren,OH
Carroll,Fairfield,OH
Oregonia,Warren,OH
Independence,Cuyahoga,OH
Maple Heights,Cuyahoga,OH
Grove City,Franklin,OH
Findlay,Hancock,OH
Fairborn,Greene,OH
Piqua,Miami,OH
New Richmond,Clermont,OH
Batavia,Clermont,OH
Galena,Delaware,OH
Barberton,Summit,OH
Akron,Summit,OH
Mansfield,Richland,OH
Cleveland,Cuyahoga,OH
Bethel,Clermont,OH
Canal Winchester,Franklin,OH
Pataskala,Licking,OH
Seville,Medina,OH
Bellville,Richland,OH
Troy,Miami,OH
Wilmington,Clinton,OH
North Olmsted,Cuyahoga,OH
Groveport,Franklin,OH
Orient,Franklin,OH
Tiro,Crawford,OH
Strongsville,Cuyahoga,OH
Beavercreek,Montgomery,OH
Circleville,Pickaway,OH
Peebles,Adams,OH
Dayton,Greene,OH
Hurricane,Putnam,WV
Xenia,Greene,OH
Elyria,Lorain,OH
Pickerington,Fairfield,OH
Burbank,Wayne,OH
Zanesville,Muskingum,OH
North Baltimore,Wood,OH
Mount Sterling,Madison,OH
Tipp City,Miami,OH
Moraine,Montgomery,OH
Hilliard,Franklin,OH
Bowling Green,Wood,OH
Maineville,Warren,OH
Vermilion,Lorain,OH
Milford,Clermont,OH
Brookpark,Cuyahoga,OH
Fraziers Bottom,Putnam,WV
Cambridge,Guernsey,OH
Delaware,Delaware,OH
Moscow,Clermont,OH
Oberlin,Lorain,OH
Sardinia,Brown,OH
Lewis Center,Delaware,OH
Urbancrest,Franklin,OH
Brecksville,Cuyahoga,OH
Frankfort,Ross,OH
Blanchester,Clinton,OH
Casstown,Miami,OH
Lima,Allen,OH
Amelia,Clermont,OH
Newark,Licking,OH
Springfield,Clark,OH
Vandalia,Montgomery,OH
Galloway,Franklin,OH
Bloomingburg,Fayette,OH
Gallipolis,Gallia,OH
Lockbourne,Franklin,OH
Milan,Erie,OH
Mason,Warren,OH
Millersport,Licking,OH
